"","Ai_name","headquarters","ceo","Year_founded"
"1","Abnormal Security","San Francisco, California, United States","Evan Reiser","2018"
"2","Adept","San Francisco, California, United States","David Luan","2022"
"3","AlphaSense","New York, New York, United States","Jack Kokko","2011"
"4","Anduril Industries","Costa Mesa, California, United States","Brian Schimpf","2017"
"5","Anthropic","San Francisco, California, United States","Dario Amodei","2021"
"6","Arize AI","Berkeley, California, United States","Jason Lopatecki","2019"
"7","Bayesian Health","New York, New York, United States","Suchi Saria","2018"
"8","Canvas","San Francisco, California, United States","Kevin Albert","2017"
"9","Character.AI","Palo Alto, California, United States","Noam Shazeer","2021"
"10","Clari","Sunnyvale, California, United States","Andy Byrne","2012"
"11","Coactive AI","San Jose, California, United States","Cody Coleman","2021"
"12","Cohere","Toronto, Canada","Aidan Gomez","2021"
"13","Databricks","San Francisco, California, United States","Ali Ghodsi","2013"
"14","Descript","San Francisco, California, United States","Andrew Mason","2017"
"15","Eightfold AI","Santa Clara, California, United States","Ashutosh Garg","2016"
"16","FarmWise Labs","Santa Clara, California, United States","Tjarko Leifer","2016"
"17","Glean","Palo Alto, California, United States","Arvind Jain","2019"
"18","Gong","Palo Alto, California, United States","Amit Bendov","2015"
"19","Harvey","San Francisco, California, United States","Gabriel Pereyra","2022"
"20","Hugging Face","New York, New York, United States","Clément Delangue","2016"
"21","ImagenAI","Tel Aviv, Israel","Yotam Gil","2020"
"22","Inflection","Palo Alto, California, United States","Mustafa Suleyman","2022"
"23","Insitro","San Francisco, California, United States","Daphne Koller","2018"
"24","Ironclad","San Francisco, California, United States","Jason Boehmig","2014"
"25","Jasper","Austin, Texas, United States","Dave Rogenmoser","2021"
"26","Midjourney","San Francisco, California, United States","David Holz","2021"
"27","MosaicML","San Francisco, California, United States","Naveen Rao","2021"
"28","Moveworks","Mountain View, California, United States","Bhavin Shah","2016"
"29","Neeva","Mountain View, California, United States","Sridhar Ramaswamy","2019"
"30","OpenAI","San Francisco, California, United States","Sam Altman","2015"
"31","Pachama","San Francisco, California, United States","Diego Saez Gil","2018"
"32","PathAI","Boston, Massachusetts, United States","Andy Beck","2016"
"33","PolyAI","London, United Kingdom","Nikola Mrkšic","2017"
"34","RevComm","Tokyo, Japan","Takeshi Aida","2017"
"35","Runway","New York , New York, United States","Cristóbal Valenzuela","2018"
"36","Scale AI","San Francisco, California, United States","Alexandr Wang","2016"
"37","Shield AI","San Diego, California, United States","Ryan Tseng","2015"
"38","Slingshot Aerospace","Austin, Texas, United States","Melanie Stricklan","2017"
"39","Snorkel AI","Redwood City, California, United States","Alexander Ratner","2019"
"40","Surge AI","San Francisco, California, United States","Edwin Chen","2020"
"41","Synthesia","London, United Kingdom","Victor Riparbelli","2017"
"42","Tome","San Francisco, California, United States","Keith Peiris","2020"
"43","Trigo","Tel Aviv, Israel","Michael Gabay","2017"
"44","Unlearn.AI","San Francisco, California, United States","Charles Fisher","2017"
"45","Vannevar Labs","Remote, United States","Brett Granberg","2019"
"46","Vectra AI","San Jose, California, United States","Hitesh Sheth","2012"
"47","VIZ.AI","San Francisco, California, United States","Chris Mansi","2016"
"48","Waabi","Toronto, Ontario, Canada","Raquel Urtasun","2021"
"49","Weights & Biases","San Francisco, California, United States","Lukas Biewald","2017"
"50","Writer","San Francisco, California, United States","May Habib","2020"
